city,price,num_restaurants,y
Westbrook,1.8333333333333333,12,3.0
Weston,2.0,2,4.0
Westport,2.327586206896552,58,4.0
Wethersfield,1.7777777777777777,27,3.0
Willimantic,1.5,18,2.0
Willington,1.8333333333333333,6,3.0
Wilton,2.0,27,4.0
Windham,1.6666666666666667,3,3.0
Windsor,1.75,32,3.0
Windsor Locks,1.5161290322580645,31,3.0
Winsted,1.5882352941176472,17,2.0
Wolcott,1.818181818181818,11,3.0
Woodbridge,1.8333333333333333,6,4.0
Woodbury,2.1,20,3.0
Woodstock,1.8,5,3.0
