city,price,num_restaurants,median_household_income,mean_household_income,per_capita_income,median_bucket,mean_bucket
Shelton,2.2,25,86870,109160,42417,4,5
Sherman,2.0,1,108398,162148,63914,5,5
Simsbury,1.9411764705882355,34,113355,142974,53329,5,5
Somers,1.5714285714285714,7,95605,108124,33792,4,5
South Windsor,1.870967741935484,31,97389,119936,45100,4,5
Southbury,1.8148148148148149,27,84058,105604,42350,4,5
Southington,2.0,34,82704,99831,39808,4,4
Stafford,2.0,2,62371,75034,30952,3,4
Stamford,2.090909090909091,99,79359,125112,47819,4,5
Sterling,1.5,2,72220,80996,26809,3,4
Stonington,1.9,10,77295,101846,43749,4,5
Stratford,1.851851851851852,27,66886,84160,34467,3,4
Suffield,2.0,7,99707,129915,41104,4,5
Thomaston,1.7692307692307692,13,67191,79589,31576,3,4
Thompson,1.75,4,69924,81605,33643,3,4
Tolland,2.142857142857143,7,110593,129471,45901,5,5
Torrington,1.9,20,56264,67701,29737,3,3
Trumbull,2.2222222222222223,18,111312,135078,46037,5,5
Union,2.0,2,95865,114809,43276,4,5
Vernon,1.875,24,59961,73887,33874,3,3
Voluntown,1.0,1,76012,83258,32006,4,4
Wallingford,1.8285714285714283,35,74060,93035,38067,3,4
Washington,2.6,5,81354,161781,70264,4,5
Waterbury,1.8307692307692307,65,40467,52597,20685,2,3
Waterford,1.9,10,75956,95108,39135,4,4
Watertown,1.7586206896551724,29,78722,98236,36883,4,4
West Hartford,2.0285714285714285,70,86569,123559,49600,4,5
West Haven,1.8,20,50846,67346,26143,3,3
Westbrook,1.8333333333333333,12,78346,116373,48545,4,5
Weston,2.0,2,217171,283202,92794,6,6
Westport,2.327586206896552,58,162907,270222,97395,5,6
Wethersfield,1.7777777777777777,27,77195,93540,38753,4,4
Willington,1.8333333333333333,6,73526,88747,36630,3,4
Wilton,2.0,27,172095,241155,78131,5,6
Winchester,2.0,2,52757,69404,31050,3,3
Windham,1.6666666666666667,3,41398,51366,19783,2,3
Windsor,1.75,32,81982,95282,36322,4,4
Windsor Locks,1.5161290322580645,31,68944,82986,34035,3,4
Wolcott,1.818181818181818,11,80323,95089,34468,4,4
Woodbridge,1.8333333333333333,6,133412,166416,58594,5,5
Woodbury,2.1,20,80350,110669,46853,4,5
Woodstock,1.8,5,78594,89652,35502,4,4
