city,1,2,3,4,total_restaurants,median_household_income,mean_household_income,per_capita_income,median_bucket,mean_bucket
Mansfield,0.35294117647058826,0.6470588235294118,0.0,0.0,17,60263,83494,19613,3,4
Marlborough,0.2857142857142857,0.7142857142857143,0.0,0.0,7,108698,125525,44991,5,5
Meriden,0.3684210526315789,0.631578947368421,0.0,0.0,19,54588,66954,28601,3,3
Middlebury,0.1,0.8,0.1,0.0,10,97756,120844,44074,4,5
Middlefield,0.6,0.0,0.2,0.2,5,102426,108443,43369,5,5
Middletown,0.08450704225352113,0.8732394366197183,0.04225352112676056,0.0,71,63691,83645,34992,3,4
Milford,0.060606060606060615,0.8787878787878788,0.060606060606060615,0.0,33,80247,98262,40616,4,4
Monroe,0.2,0.72,0.08,0.0,25,110558,142503,48998,5,5
Montville,0.6,0.4,0.0,0.0,5,70036,81368,29689,3,4
Morris,0.2,0.4,0.0,0.4,5,83750,117639,46999,4,5
Naugatuck,0.2352941176470588,0.7647058823529411,0.0,0.0,17,58078,81615,32241,3,4
New Britain,0.5142857142857142,0.4571428571428571,0.028571428571428567,0.0,35,40457,53246,21470,2,3
New Canaan,0.047619047619047616,0.7619047619047619,0.19047619047619047,0.0,21,168311,309243,105846,5,6
New Fairfield,0.0,1.0,0.0,0.0,8,101273,124667,43622,5,5
New Hartford,0.5,0.5,0.0,0.0,8,87596,94784,36769,4,4
New Haven,0.15217391304347827,0.7065217391304348,0.14130434782608695,0.0,92,37192,57499,23527,2,3
New London,0.18421052631578946,0.7894736842105263,0.0,0.02631578947368421,38,36250,50577,21736,2,3
New Milford,0.3235294117647059,0.5882352941176471,0.08823529411764706,0.0,34,78343,101293,39331,4,5
Newington,0.41935483870967744,0.5483870967741935,0.03225806451612903,0.0,31,79960,89963,38192,4,4
Newtown,0.25,0.6666666666666666,0.08333333333333333,0.0,36,111022,137886,48744,5,5
Norfolk,0.25,0.75,0.0,0.0,4,72875,104561,45462,3,5
North Branford,0.2727272727272727,0.6363636363636364,0.09090909090909093,0.0,11,84697,106584,41661,4,5
North Haven,0.08333333333333333,0.9166666666666666,0.0,0.0,24,86340,103094,38137,4,5
North Stonington,0.5,0.5,0.0,0.0,4,75954,89888,33841,4,4
Norwalk,0.09,0.78,0.12,0.01,100,76987,108184,43570,4,5
Norwich,0.41818181818181815,0.5454545454545454,0.03636363636363636,0.0,55,50078,65163,26823,3,3
Old Lyme,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7,87025,110147,46429,4,5
Old Saybrook,0.0,0.76,0.24,0.0,25,71796,103397,44293,3,5
Orange,0.0,0.9333333333333332,0.06666666666666668,0.0,15,107047,138121,49776,5,5
Oxford,0.3076923076923077,0.6923076923076923,0.0,0.0,13,97296,113467,39438,4,5
Plainfield,0.5,0.5,0.0,0.0,12,60673,69978,27137,3,3
Plainville,0.2692307692307692,0.7307692307692307,0.0,0.0,26,58500,72585,31306,3,3
Plymouth,0.75,0.25,0.0,0.0,4,70167,78402,31511,3,4
Pomfret,0.5,0.5,0.0,0.0,4,91053,109833,40380,4,5
Portland,0.42857142857142855,0.5714285714285714,0.0,0.0,7,90417,109228,45534,4,5
Preston,0.0,1.0,0.0,0.0,2,69275,82895,34231,3,4
Prospect,0.0,1.0,0.0,0.0,8,102397,111627,39229,5,5
Putnam,0.39130434782608703,0.6086956521739131,0.0,0.0,23,51621,60455,25888,3,3
Redding,0.0,1.0,0.0,0.0,4,121270,158316,61043,5,5
Ridgefield,0.05,0.65,0.3,0.0,20,145902,211227,75634,5,6
Rocky Hill,0.038461538461538464,0.9615384615384616,0.0,0.0,26,81576,103285,42252,4,5
Salem,0.75,0.25,0.0,0.0,4,105326,114879,41667,5,5
Salisbury,0.0,0.0,1.0,0.0,1,82794,128590,53332,4,5
Seymour,0.4074074074074074,0.5925925925925926,0.0,0.0,27,76991,89225,33917,4,4
Sharon,0.0,1.0,0.0,0.0,2,74625,122029,57523,3,5
Shelton,0.0,0.8,0.2,0.0,25,86870,109160,42417,4,5
Sherman,0.0,1.0,0.0,0.0,1,108398,162148,63914,5,5
Simsbury,0.17647058823529413,0.7058823529411765,0.1176470588235294,0.0,34,113355,142974,53329,5,5
Somers,0.42857142857142855,0.5714285714285714,0.0,0.0,7,95605,108124,33792,4,5
South Windsor,0.1935483870967742,0.7419354838709677,0.06451612903225806,0.0,31,97389,119936,45100,4,5
Southbury,0.1851851851851852,0.8148148148148148,0.0,0.0,27,84058,105604,42350,4,5
Southington,0.08823529411764706,0.8235294117647058,0.08823529411764706,0.0,34,82704,99831,39808,4,4
Stafford,0.0,1.0,0.0,0.0,2,62371,75034,30952,3,4
Stamford,0.030303030303030307,0.8686868686868687,0.08080808080808081,0.020202020202020204,99,79359,125112,47819,4,5
Sterling,0.5,0.5,0.0,0.0,2,72220,80996,26809,3,4
Stonington,0.2,0.7,0.1,0.0,10,77295,101846,43749,4,5
Stratford,0.1851851851851852,0.7777777777777778,0.037037037037037035,0.0,27,66886,84160,34467,3,4
Suffield,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7,99707,129915,41104,4,5
Thomaston,0.2307692307692308,0.7692307692307693,0.0,0.0,13,67191,79589,31576,3,4
Thompson,0.25,0.75,0.0,0.0,4,69924,81605,33643,3,4
Tolland,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,7,110593,129471,45901,5,5
Torrington,0.1,0.9,0.0,0.0,20,56264,67701,29737,3,3
Trumbull,0.0,0.7777777777777778,0.2222222222222222,0.0,18,111312,135078,46037,5,5
