city,1,2,3,4,total_restaurants,y
New Britain,0.5142857142857142,0.4571428571428571,0.028571428571428567,0.0,35,2.0
New Canaan,0.047619047619047616,0.7619047619047619,0.19047619047619047,0.0,21,4.0
New Fairfield,0.0,1.0,0.0,0.0,8,3.0
New Hartford,0.5,0.5,0.0,0.0,8,3.0
New Haven,0.15217391304347827,0.7065217391304348,0.14130434782608695,0.0,92,2.0
New London,0.18421052631578946,0.7894736842105263,0.0,0.02631578947368421,38,2.0
New Milford,0.3235294117647059,0.5882352941176471,0.08823529411764706,0.0,34,3.0
New Preston,0.0,1.0,0.0,0.0,4,3.0
Newington,0.41935483870967744,0.5483870967741935,0.03225806451612903,0.0,31,3.0
Newtown,0.25,0.6666666666666666,0.08333333333333333,0.0,36,3.0
Niantic,0.17647058823529413,0.8235294117647058,0.0,0.0,17,3.0
Norfolk,0.25,0.75,0.0,0.0,4,3.0
North Branford,0.2727272727272727,0.6363636363636364,0.09090909090909093,0.0,11,3.0
North Franklin,1.0,0.0,0.0,0.0,2,3.0
North Grosvenordale,1.0,0.0,0.0,0.0,3,3.0
North Haven,0.08333333333333333,0.9166666666666666,0.0,0.0,24,3.0
North Stonington,0.5,0.5,0.0,0.0,4,3.0
North Windham,0.75,0.25,0.0,0.0,4,2.0
Norwalk,0.09,0.78,0.12,0.01,100,3.0
Norwich,0.41818181818181815,0.5454545454545454,0.03636363636363636,0.0,55,2.0
Oakdale,0.0,1.0,0.0,0.0,3,3.0
Oakville,0.0,0.75,0.25,0.0,4,3.0
Old Greenwich,0.125,0.625,0.25,0.0,8,4.0
Old Lyme,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7,3.0
Old Saybrook,0.0,0.76,0.24,0.0,25,3.0
Orange,0.0,0.9333333333333332,0.06666666666666668,0.0,15,3.0
Oxford,0.3076923076923077,0.6923076923076923,0.0,0.0,13,3.0
Plainfield,0.5,0.5,0.0,0.0,12,3.0
Plainville,0.2692307692307692,0.7307692307692307,0.0,0.0,26,3.0
Plantsville,0.3333333333333333,0.6190476190476191,0.047619047619047616,0.0,21,3.0
Plymouth,0.75,0.25,0.0,0.0,4,3.0
Portland,0.42857142857142855,0.5714285714285714,0.0,0.0,7,3.0
Preston,0.0,1.0,0.0,0.0,2,3.0
Prospect,0.0,1.0,0.0,0.0,8,3.0
Putnam,0.39130434782608703,0.6086956521739131,0.0,0.0,23,2.0
Quaker Hill,1.0,0.0,0.0,0.0,1,3.0
Redding,0.0,1.0,0.0,0.0,4,4.0
Ridgefield,0.05,0.65,0.3,0.0,20,4.0
Riverside,0.25,0.5,0.0,0.25,4,4.0
Riverton,1.0,0.0,0.0,0.0,1,3.0
Rockfall,0.5,0.5,0.0,0.0,2,3.0
Rocky Hill,0.038461538461538464,0.9615384615384616,0.0,0.0,26,3.0
Salem,0.75,0.25,0.0,0.0,4,3.0
Salisbury,0.0,0.0,1.0,0.0,1,3.0
Sandy Hook,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,6,3.0
Seymour,0.4074074074074074,0.5925925925925926,0.0,0.0,27,3.0
Sharon,0.0,1.0,0.0,0.0,2,3.0
Shelton,0.0,0.8,0.2,0.0,25,3.0
Sherman,0.0,1.0,0.0,0.0,1,3.0
Simsbury,0.17647058823529413,0.7058823529411765,0.1176470588235294,0.0,34,4.0
Somers,0.42857142857142855,0.5714285714285714,0.0,0.0,7,3.0
South Glastonbury,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,7,4.0
South Windsor,1.0,0.0,0.0,0.0,1,3.0
South Windham,0.0,1.0,0.0,0.0,1,2.0
Southbury,0.1851851851851852,0.8148148148148148,0.0,0.0,27,3.0
Southington,0.08823529411764706,0.8235294117647058,0.08823529411764706,0.0,34,3.0
