"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI) [5],Total income Amount
06256,"$25,000 under $50,000",340,12431,12563
06256,"$50,000 under $75,000",210,12652,12781
06256,"$75,000 under $100,000",120,9955,9997
06256,"$100,000 under $200,000",120,18001,18188
06256,"$200,000 or more",**,**,**
,,,,
06259,,"1,840","160,180","163,260"
06259,"$1 under $25,000",460,5291,5401
06259,"$25,000 under $50,000",340,12548,12840
06259,"$50,000 under $75,000",310,19253,19666
06259,"$75,000 under $100,000",210,18433,18857
06259,"$100,000 under $200,000",390,54667,55448
06259,"$200,000 or more",130,49988,51048
,,,,
06260,,"4,480","230,041","232,867"
06260,"$1 under $25,000",1530,19232,19466
06260,"$25,000 under $50,000",1260,45424,45940
06260,"$50,000 under $75,000",690,42206,42603
06260,"$75,000 under $100,000",410,35042,35411
06260,"$100,000 under $200,000",520,67360,68169
06260,"$200,000 or more",70,20777,21278
,,,,
06262,,320,"16,058","16,150"
06262,"$1 under $25,000",90,973,973
06262,"$25,000 under $50,000",100,3604,3668
06262,"$50,000 under $75,000",50,3244,3244
06262,"$75,000 under $100,000",40,3185,3213
06262,"$100,000 under $200,000",40,5052,5052
06262,"$200,000 or more",**,**,**
,,,,
06264,,310,"20,402","20,578"
06264,"$1 under $25,000",70,843,843
06264,"$25,000 under $50,000",70,2685,2768
06264,"$50,000 under $75,000",50,3295,3295
06264,"$75,000 under $100,000",50,4491,4584
06264,"$100,000 under $200,000",70,9088,9088
06264,"$200,000 or more",**,**,**
,,,,
06266,,310,"16,343","16,441"
06266,"$1 under $25,000",90,1191,1191
06266,"$25,000 under $50,000",90,3157,3234
06266,"$50,000 under $75,000",60,3331,3331
06266,"$75,000 under $100,000",30,2980,3001
06266,"$100,000 under $200,000",40,5684,5684
06266,"$200,000 or more",**,**,**
,,,,
06268,,"3,190","280,285","285,127"
06268,"$1 under $25,000",930,10295,10577
06268,"$25,000 under $50,000",550,19770,20164
06268,"$50,000 under $75,000",400,24818,25203
06268,"$75,000 under $100,000",320,27793,28185
06268,"$100,000 under $200,000",680,95635,96964
06268,"$200,000 or more",310,101974,104034
,,,,
06277,,"2,090","150,207","152,253"
06277,"$1 under $25,000",540,6711,6820
06277,"$25,000 under $50,000",490,17743,18175
06277,"$50,000 under $75,000",340,21111,21329
06277,"$75,000 under $100,000",250,21855,22050
06277,"$100,000 under $200,000",400,53739,54433
06277,"$200,000 or more",70,29048,29446
,,,,
06278,,"2,180","152,089","154,219"
06278,"$1 under $25,000",580,7259,7381
06278,"$25,000 under $50,000",480,17618,17874
06278,"$50,000 under $75,000",340,21400,21623
06278,"$75,000 under $100,000",270,23649,23833
06278,"$100,000 under $200,000",430,58039,58779
06278,"$200,000 or more",80,24124,24729
,,,,
06279,,"2,770","208,425","211,378"
06279,"$1 under $25,000",780,9724,9908
06279,"$25,000 under $50,000",530,19240,19562
06279,"$50,000 under $75,000",430,26447,26807
06279,"$75,000 under $100,000",300,26409,26683
06279,"$100,000 under $200,000",610,82839,83788
06279,"$200,000 or more",120,43766,44630
,,,,
06280,,"1,600","95,907","97,135"
06280,"$1 under $25,000",450,5904,5995
06280,"$25,000 under $50,000",420,15370,15542
06280,"$50,000 under $75,000",270,16723,16935
06280,"$75,000 under $100,000",190,16260,16452
06280,"$100,000 under $200,000",230,29525,30086
06280,"$200,000 or more",40,12125,12125
,,,,
06281,,"3,260","302,736","309,154"
06281,"$1 under $25,000",820,9070,9317
06281,"$25,000 under $50,000",580,21326,21906
06281,"$50,000 under $75,000",520,32146,33054
06281,"$75,000 under $100,000",370,32373,32944
06281,"$100,000 under $200,000",730,100147,101593
06281,"$200,000 or more",240,107674,110340
,,,,
06282,,550,"42,170","42,671"
06282,"$1 under $25,000",130,1481,1522
06282,"$25,000 under $50,000",100,3730,3785
06282,"$50,000 under $75,000",100,6224,6261
06282,"$75,000 under $100,000",70,6347,6459
06282,"$100,000 under $200,000",120,15268,15524
06282,"$200,000 or more",30,9120,9120
,,,,
06320,,"12,650","552,618","559,331"
06320,"$1 under $25,000",5840,77328,78183
06320,"$25,000 under $50,000",3600,127867,129033
06320,"$50,000 under $75,000",1490,90576,91468
06320,"$75,000 under $100,000",740,63376,63955
06320,"$100,000 under $200,000",820,110080,111675
06320,"$200,000 or more",160,83391,85017
,,,,
06330,,"1,430","83,512","84,287"
06330,"$1 under $25,000",450,5745,5840
06330,"$25,000 under $50,000",340,12318,12416
06330,"$50,000 under $75,000",240,15115,15244
06330,"$75,000 under $100,000",170,14698,14882
06330,"$100,000 under $200,000",200,27239,27508
06330,"$200,000 or more",30,8397,8397
,,,,
06331,,"2,550","164,549","166,507"
06331,"$1 under $25,000",690,8782,8970
06331,"$25,000 under $50,000",550,20031,20333
06331,"$50,000 under $75,000",440,27370,27628
06331,"$75,000 under $100,000",320,27980,28243
06331,"$100,000 under $200,000",490,66023,66725
06331,"$200,000 or more",60,14363,14608
,,,,
06333,,"3,620","431,141","437,835"
06333,"$1 under $25,000",890,9375,9556
06333,"$25,000 under $50,000",520,19117,19557
06333,"$50,000 under $75,000",440,27676,28206
06333,"$75,000 under $100,000",340,29584,30161
06333,"$100,000 under $200,000",900,127740,129632
06333,"$200,000 or more",530,217649,220723
,,,,
06334,,"1,290","91,113","92,468"
06334,"$1 under $25,000",340,4183,4242
06334,"$25,000 under $50,000",290,10650,10849
06334,"$50,000 under $75,000",220,13674,13822
06334,"$75,000 under $100,000",170,14366,14494
06334,"$100,000 under $200,000",230,30679,31133
06334,"$200,000 or more",40,17561,17928
,,,,
06335,,"3,300","267,254","269,704"
06335,"$1 under $25,000",760,8931,9068
06335,"$25,000 under $50,000",590,21849,22138
06335,"$50,000 under $75,000",510,31709,32051
06335,"$75,000 under $100,000",430,37632,37981
06335,"$100,000 under $200,000",820,112928,113746
06335,"$200,000 or more",190,54205,54720
,,,,
06339,,"4,240","311,182","315,387"
06339,"$1 under $25,000",1080,12649,12892
06339,"$25,000 under $50,000",920,34081,34666
06339,"$50,000 under $75,000",730,44801,45410
06339,"$75,000 under $100,000",460,39791,40147
06339,"$100,000 under $200,000",870,117075,118264
06339,"$200,000 or more",180,62785,64008
,,,,
06340,,"13,860","883,783","893,982"
06340,"$1 under $25,000",4240,55948,56620
06340,"$25,000 under $50,000",3850,141403,143013
06340,"$50,000 under $75,000",2440,150273,151902
06340,"$75,000 under $100,000",1360,117325,118359
06340,"$100,000 under $200,000",1570,207974,210138
06340,"$200,000 or more",400,210860,213950
,,,,
06351,,"7,860","472,625","478,443"
06351,"$1 under $25,000",2330,29116,29494
06351,"$25,000 under $50,000",1990,72656,73431
06351,"$50,000 under $75,000",1240,76412,77258
06351,"$75,000 under $100,000",860,74368,75175
06351,"$100,000 under $200,000",1250,166163,167749
06351,"$200,000 or more",190,53910,55336
,,,,
06353,,190,"8,668","8,696"
06353,"$1 under $25,000",50,742,770
06353,"$25,000 under $50,000",80,2633,2633
06353,"$50,000 under $75,000",30,2049,2049
06353,"$75,000 under $100,000",30,3244,3244
06353,"$100,000 under $200,000",**,**,**
06353,"$200,000 or more",**,**,**
,,,,
06354,,"2,600","136,494","137,901"
06354,"$1 under $25,000",890,11843,12075
06354,"$25,000 under $50,000",670,24669,24916
06354,"$50,000 under $75,000",420,25794,26056
06354,"$75,000 under $100,000",290,24733,24939
06354,"$100,000 under $200,000",300,39334,39794
06354,"$200,000 or more",30,10121,10121
,,,,
06355,,"6,770","680,268","692,119"
06355,"$1 under $25,000",1610,18765,19328
06355,"$25,000 under $50,000",1160,42562,43398
06355,"$50,000 under $75,000",960,59919,61024
06355,"$75,000 under $100,000",760,66272,67310
06355,"$100,000 under $200,000",1600,220536,223761
06355,"$200,000 or more",680,272214,277298
,,,,
06357,,"5,800","502,119","511,027"
06357,"$1 under $25,000",1480,17374,17778
06357,"$25,000 under $50,000",1040,38361,39095
06357,"$50,000 under $75,000",900,55766,56803
06357,"$75,000 under $100,000",720,62742,63550
06357,"$100,000 under $200,000",1260,172293,174830
06357,"$200,000 or more",400,155583,158971
,,,,
06359,,"2,640","230,242","233,942"
06359,"$1 under $25,000",620,7007,7255
06359,"$25,000 under $50,000",530,19727,20103
06359,"$50,000 under $75,000",420,26641,27108
06359,"$75,000 under $100,000",310,27106,27736
06359,"$100,000 under $200,000",590,79959,80814
06359,"$200,000 or more",170,69802,70926
,,,,
06360,,"18,100","860,689","870,740"
06360,"$1 under $25,000",7000,93657,94868
06360,"$25,000 under $50,000",5340,191628,193357
06360,"$50,000 under $75,000",2520,153939,155551
06360,"$75,000 under $100,000",1380,119481,120570
06360,"$100,000 under $200,000",1590,209427,211553
06360,"$200,000 or more",270,92557,94841
,,,,
06365,,"2,360","168,658","171,146"
06365,"$1 under $25,000",610,7739,7856
06365,"$25,000 under $50,000",500,18824,19180
06365,"$50,000 under $75,000",390,23687,24070
06365,"$75,000 under $100,000",270,23352,23608
06365,"$100,000 under $200,000",510,69065,70048
06365,"$200,000 or more",80,25991,26384
,,,,
06370,,"3,620","262,050","264,564"
06370,"$1 under $25,000",940,12031,12211
06370,"$25,000 under $50,000",740,27329,27668
06370,"$50,000 under $75,000",600,37079,37484
06370,"$75,000 under $100,000",430,37034,37292
06370,"$100,000 under $200,000",800,108552,109143
06370,"$200,000 or more",110,40025,40766
,,,,
06371,,"5,010","787,323","802,354"
06371,"$1 under $25,000",1220,12690,13178
06371,"$25,000 under $50,000",770,28524,29316
06371,"$50,000 under $75,000",620,38589,39485
06371,"$75,000 under $100,000",500,43108,44203
06371,"$100,000 under $200,000",1130,159098,162235
06371,"$200,000 or more",770,505314,513937
,,,,
06374,,"3,770","203,467","205,181"
06374,"$1 under $25,000",1130,14907,15024
06374,"$25,000 under $50,000",1010,36768,37054
06374,"$50,000 under $75,000",680,41961,42339
06374,"$75,000 under $100,000",450,38529,38831
06374,"$100,000 under $200,000",460,59451,60082
06374,"$200,000 or more",40,11851,11851
,,,,
06375,,"2,010","134,147","135,871"
06375,"$1 under $25,000",530,6382,6517
06375,"$25,000 under $50,000",440,16057,16258
06375,"$50,000 under $75,000",310,19447,19666
06375,"$75,000 under $100,000",270,23415,23640
06375,"$100,000 under $200,000",400,52174,52747
06375,"$200,000 or more",60,16672,17043
,,,,
06377,,"1,330","80,511","81,470"
06377,"$1 under $25,000",370,4476,4618
06377,"$25,000 under $50,000",310,11165,11338
06377,"$50,000 under $75,000",250,15587,15777
06377,"$75,000 under $100,000",150,13276,13391
06377,"$100,000 under $200,000",250,36007,36346
06377,"$200,000 or more",**,**,**
,,,,
06378,,"2,890","395,175","404,580"
06378,"$1 under $25,000",700,7784,8047
06378,"$25,000 under $50,000",460,16673,17453
06378,"$50,000 under $75,000",360,22016,22493
06378,"$75,000 under $100,000",300,26286,26789
06378,"$100,000 under $200,000",610,87298,89058
06378,"$200,000 or more",460,235118,240740
,,,,
06379,,"4,580","343,622","348,843"
06379,"$1 under $25,000",1390,16296,16656
06379,"$25,000 under $50,000",950,34921,35510
06379,"$50,000 under $75,000",720,44149,44911
06379,"$75,000 under $100,000",500,43154,43896
06379,"$100,000 under $200,000",770,105721,107131
06379,"$200,000 or more",250,99381,100739
,,,,
06380,,"1,240","45,121","45,395"
06380,"$1 under $25,000",540,6856,6899
06380,"$25,000 under $50,000",390,13840,13920
06380,"$50,000 under $75,000",170,10326,10426
06380,"$75,000 under $100,000",70,5904,5955
06380,"$100,000 under $200,000",70,8195,8195
06380,"$200,000 or more",**,**,**
,,,,
06382,,"5,240","290,604","293,409"
06382,"$1 under $25,000",1530,19813,20126
06382,"$25,000 under $50,000",1470,53609,54079
06382,"$50,000 under $75,000",880,53612,53993
06382,"$75,000 under $100,000",600,51985,52408
06382,"$100,000 under $200,000",690,92017,92709
06382,"$200,000 or more",70,19568,20094
,,,,
06384,,"1,350","90,884","91,897"
06384,"$1 under $25,000",370,4808,4938
06384,"$25,000 under $50,000",280,10137,10307
06384,"$50,000 under $75,000",230,14447,14630
06384,"$75,000 under $100,000",170,14445,14585
06384,"$100,000 under $200,000",270,35932,36322
06384,"$200,000 or more",30,11115,11115
,,,,
06385,,"8,400","688,751","700,604"
06385,"$1 under $25,000",2190,25888,26386
06385,"$25,000 under $50,000",1610,59574,60509
06385,"$50,000 under $75,000",1400,86526,87740
06385,"$75,000 under $100,000",940,81787,82842
06385,"$100,000 under $200,000",1740,239389,242831
06385,"$200,000 or more",520,195587,200296
,,,,
06389,,120,"7,662","7,684"
06389,"$1 under $25,000",20,401,423
06389,"$25,000 under $50,000",40,1304,1304
06389,"$50,000 under $75,000",30,1725,1725
06389,"$75,000 under $100,000",30,4232,4232
06389,"$100,000 under $200,000",**,**,**
06389,"$200,000 or more",**,**,**
,,,,
06401,,"9,350","469,303","473,985"
06401,"$1 under $25,000",3290,42155,42739
06401,"$25,000 under $50,000",2560,93255,94325
06401,"$50,000 under $75,000",1460,89730,90565
06401,"$75,000 under $100,000",880,75589,76322
06401,"$100,000 under $200,000",1060,138259,139315
06401,"$200,000 or more",100,30315,30719
,,,,
06403,,"3,040","227,277","229,679"
06403,"$1 under $25,000",750,8724,8867
06403,"$25,000 under $50,000",590,21917,22220
06403,"$50,000 under $75,000",500,30657,31145
06403,"$75,000 under $100,000",370,32546,32897
06403,"$100,000 under $200,000",690,94487,95237
06403,"$200,000 or more",140,38946,39313
,,,,
06405,,"15,570","1,431,167","1,461,709"
06405,"$1 under $25,000",4100,47942,49261
06405,"$25,000 under $50,000",3230,119995,122723
06405,"$50,000 under $75,000",2480,153539,156191
06405,"$75,000 under $100,000",1810,156332,158693
06405,"$100,000 under $200,000",2800,384108,391659
06405,"$200,000 or more",1150,569251,583182
,,,,
06409,,360,"26,662","27,112"
06409,"$1 under $25,000",120,1365,1394
06409,"$25,000 under $50,000",70,2551,2609
06409,"$50,000 under $75,000",60,3290,3377
06409,"$75,000 under $100,000",30,2884,2884
06409,"$100,000 under $200,000",60,8789,9065
06409,"$200,000 or more",20,7783,7783
,,,,
06410,,"13,450","1,506,563","1,536,848"
06410,"$1 under $25,000",3420,34867,35807
06410,"$25,000 under $50,000",1820,67196,68731
06410,"$50,000 under $75,000",1590,98903,101042
06410,"$75,000 under $100,000",1400,121402,123690
06410,"$100,000 under $200,000",3400,483756,491449
06410,"$200,000 or more",1820,700439,716129
,,,,
06412,,"2,020","182,881","187,196"
06412,"$1 under $25,000",550,6349,6537
06412,"$25,000 under $50,000",360,13241,13675
06412,"$50,000 under $75,000",300,18137,18602
06412,"$75,000 under $100,000",190,16701,17097
06412,"$100,000 under $200,000",440,61698,62834
06412,"$200,000 or more",180,66755,68451
,,,,
06413,,"6,840","564,706","574,044"
06413,"$1 under $25,000",1960,22664,23115
06413,"$25,000 under $50,000",1280,47020,48002
06413,"$50,000 under $75,000",1040,64493,65673
06413,"$75,000 under $100,000",770,67055,68138
06413,"$100,000 under $200,000",1370,189696,192180
06413,"$200,000 or more",420,173778,176936
,,,,
06415,,"8,350","662,996","671,796"
06415,"$1 under $25,000",2240,25205,25728
06415,"$25,000 under $50,000",1480,54728,55613
06415,"$50,000 under $75,000",1220,75451,76514
06415,"$75,000 under $100,000",960,83081,84114
06415,"$100,000 under $200,000",1950,270753,273597
06415,"$200,000 or more",500,153778,156230
,,,,
06416,,"7,610","711,731","724,757"
06416,"$1 under $25,000",1820,20882,21405
06416,"$25,000 under $50,000",1420,53252,54273
06416,"$50,000 under $75,000",1240,76167,77179
06416,"$75,000 under $100,000",920,79545,80410
06416,"$100,000 under $200,000",1630,226244,228848
06416,"$200,000 or more",580,255641,262642
,,,,
06417,,"2,350","213,567","217,198"
06417,"$1 under $25,000",630,7103,7289
06417,"$25,000 under $50,000",490,17855,18256
06417,"$50,000 under $75,000",370,22963,23286
06417,"$75,000 under $100,000",250,21934,22398
06417,"$100,000 under $200,000",460,61863,63068
06417,"$200,000 or more",150,81849,82901
,,,,
06418,,"6,260","341,956","345,708"
06418,"$1 under $25,000",2060,25844,26282
06418,"$25,000 under $50,000",1620,59893,60691
06418,"$50,000 under $75,000",1070,65266,65894
06418,"$75,000 under $100,000",630,54110,54545
06418,"$100,000 under $200,000",770,102434,103405
06418,"$200,000 or more",110,34409,34891
,,,,
06419,,"3,230","341,747","348,668"
06419,"$1 under $25,000",850,8645,8949
06419,"$25,000 under $50,000",440,16093,16571
06419,"$50,000 under $75,000",370,22703,23289
06419,"$75,000 under $100,000",310,26594,27082
06419,"$100,000 under $200,000",860,121342,123709
06419,"$200,000 or more",400,146370,149068
,,,,
06420,,"2,110","188,529","191,697"
06420,"$1 under $25,000",540,6000,6160
06420,"$25,000 under $50,000",310,11716,12037
06420,"$50,000 under $75,000",290,17810,18146
06420,"$75,000 under $100,000",240,20997,21284
06420,"$100,000 under $200,000",560,77650,78547
06420,"$200,000 or more",170,54356,55523
,,,,
06422,,"3,660","427,644","437,227"
06422,"$1 under $25,000",910,9547,9850
06422,"$25,000 under $50,000",520,19340,19807
06422,"$50,000 under $75,000",430,27005,27569
06422,"$75,000 under $100,000",430,37177,37605
06422,"$100,000 under $200,000",950,134571,136444
06422,"$200,000 or more",420,200004,205952
,,,,
06423,,"2,520","227,842","232,041"
06423,"$1 under $25,000",610,7116,7257
06423,"$25,000 under $50,000",410,15267,15516
06423,"$50,000 under $75,000",370,22976,23437
06423,"$75,000 under $100,000",290,25660,26170
06423,"$100,000 under $200,000",640,88381,89363
06423,"$200,000 or more",200,68442,70298
,,,,
06424,,"6,300","533,263","541,306"
06424,"$1 under $25,000",1520,16893,17275
06424,"$25,000 under $50,000",1030,38287,38940
06424,"$50,000 under $75,000",1000,61705,62628
06424,"$75,000 under $100,000",760,66322,67423
06424,"$100,000 under $200,000",1570,217303,219905
06424,"$200,000 or more",420,132753,135135
,,,,
06426,,"1,840","342,035","350,875"
06426,"$1 under $25,000",410,4417,4575
06426,"$25,000 under $50,000",220,8291,8546
06426,"$50,000 under $75,000",200,12741,13119
06426,"$75,000 under $100,000",170,14413,14742
06426,"$100,000 under $200,000",440,61522,62967
06426,"$200,000 or more",400,240651,246926
,,,,
06437,,"11,110","1,509,562","1,545,496"
06437,"$1 under $25,000",2720,27538,28423
06437,"$25,000 under $50,000",1570,57991,59700
06437,"$50,000 under $75,000",1300,81242,83293
06437,"$75,000 under $100,000",1070,94066,96738
06437,"$100,000 under $200,000",2600,370419,378879
06437,"$200,000 or more",1850,878306,898463
,,,,
06438,,"1,330","139,483","142,570"
06438,"$1 under $25,000",330,3664,3778
06438,"$25,000 under $50,000",220,8265,8432
06438,"$50,000 under $75,000",180,11398,11546
06438,"$75,000 under $100,000",150,13378,13606
06438,"$100,000 under $200,000",310,43321,43950
06438,"$200,000 or more",140,59457,61258
,,,,
06441,,"2,800","262,456","267,157"
06441,"$1 under $25,000",630,7189,7434
06441,"$25,000 under $50,000",470,17261,17618
06441,"$50,000 under $75,000",390,23887,24283
06441,"$75,000 under $100,000",330,28640,28979
06441,"$100,000 under $200,000",720,99853,101318
06441,"$200,000 or more",260,85626,87525
,,,,
06442,,"1,470","129,205","131,949"
06442,"$1 under $25,000",420,4384,4527
06442,"$25,000 under $50,000",240,8690,9017
06442,"$50,000 under $75,000",200,12447,12647
06442,"$75,000 under $100,000",160,14327,14542
06442,"$100,000 under $200,000",310,43191,44175
06442,"$200,000 or more",140,46166,47041
,,,,
06443,,"8,990","1,360,719","1,392,775"
06443,"$1 under $25,000",2290,21572,22238
06443,"$25,000 under $50,000",1020,37390,38732
06443,"$50,000 under $75,000",910,56639,58236
06443,"$75,000 under $100,000",810,70314,72034
06443,"$100,000 under $200,000",2120,301233,308067
06443,"$200,000 or more",1840,873571,893468
,,,,
06447,,"3,090","367,351","373,757"
06447,"$1 under $25,000",730,7945,8163
06447,"$25,000 under $50,000",420,15484,16038
06447,"$50,000 under $75,000",410,25579,26217
06447,"$75,000 under $100,000",360,31159,31833
06447,"$100,000 under $200,000",810,113659,115650
06447,"$200,000 or more",360,173525,175856
,,,,
06450,,"17,750","931,159","940,501"
06450,"$1 under $25,000",6060,78932,79860
06450,"$25,000 under $50,000",4840,176568,178381
06450,"$50,000 under $75,000",2830,173213,174961
06450,"$75,000 under $100,000",1720,147957,149347
06450,"$100,000 under $200,000",2060,270931,273427
06450,"$200,000 or more",240,83558,84525
,,,,
06451,,"11,770","578,667","584,621"
06451,"$1 under $25,000",4410,57164,57870
06451,"$25,000 under $50,000",3120,112254,113256
06451,"$50,000 under $75,000",1760,107539,108540
06451,"$75,000 under $100,000",1090,93918,94778
06451,"$100,000 under $200,000",1240,163711,164923
06451,"$200,000 or more",150,44081,45254
,,,,
06455,,"1,700","159,889","162,945"
06455,"$1 under $25,000",440,4788,4892
06455,"$25,000 under $50,000",270,9981,10242
06455,"$50,000 under $75,000",280,17567,17852
06455,"$75,000 under $100,000",180,16039,16290
06455,"$100,000 under $200,000",380,53610,54480
06455,"$200,000 or more",150,57904,59189
,,,,
06457,,"22,660","1,476,007","1,496,022"
06457,"$1 under $25,000",6630,82499,83905
06457,"$25,000 under $50,000",5370,198487,201183
06457,"$50,000 under $75,000",3820,235463,238636
06457,"$75,000 under $100,000",2460,212015,214246
06457,"$100,000 under $200,000",3530,477777,482624
06457,"$200,000 or more",850,269766,275428
,,,,
06460,,"20,360","1,709,646","1,742,173"
06460,"$1 under $25,000",5210,59837,61627
06460,"$25,000 under $50,000",3920,145799,148794
06460,"$50,000 under $75,000",3370,208733,212267
06460,"$75,000 under $100,000",2500,217393,220767
06460,"$100,000 under $200,000",4090,563158,572727
06460,"$200,000 or more",1270,514726,525991
,,,,
06461,,"7,630","656,709","667,258"
06461,"$1 under $25,000",1950,21225,21630
06461,"$25,000 under $50,000",1350,50213,51236
06461,"$50,000 under $75,000",1100,68599,69641
06461,"$75,000 under $100,000",850,74123,75076
06461,"$100,000 under $200,000",1730,240542,243663
06461,"$200,000 or more",650,202007,206012
,,,,
06468,,"9,460","1,033,812","1,052,777"
06468,"$1 under $25,000",2470,25399,26423
06468,"$25,000 under $50,000",1350,50280,51642
06468,"$50,000 under $75,000",1130,69767,71423
06468,"$75,000 under $100,000",930,81327,83299
06468,"$100,000 under $200,000",2340,332515,338126
06468,"$200,000 or more",1240,474524,481864
,,,,
06469,,"1,620","116,507","118,448"
06469,"$1 under $25,000",450,5234,5368
06469,"$25,000 under $50,000",340,12408,12651
06469,"$50,000 under $75,000",230,14227,14477
06469,"$75,000 under $100,000",170,14769,14921
06469,"$100,000 under $200,000",360,50183,50999
06469,"$200,000 or more",70,19686,20032
,,,,
06470,,"7,640","1,072,039","1,093,990"
06470,"$1 under $25,000",1920,19655,20488
06470,"$25,000 under $50,000",980,36071,37283
06470,"$50,000 under $75,000",810,50150,51473
06470,"$75,000 under $100,000",720,62569,64069
06470,"$100,000 under $200,000",1830,260364,265478
06470,"$200,000 or more",1380,643230,655199
,,,,
06471,,"3,920","309,572","314,057"
06471,"$1 under $25,000",1030,11828,12106
06471,"$25,000 under $50,000",720,26917,27563
06471,"$50,000 under $75,000",590,36932,37519
06471,"$75,000 under $100,000",470,41159,41915
06471,"$100,000 under $200,000",890,121586,123016
06471,"$200,000 or more",220,71150,71938
,,,,
06472,,"3,350","280,057","283,776"
06472,"$1 under $25,000",860,9647,9867
06472,"$25,000 under $50,000",570,20871,21259
06472,"$50,000 under $75,000",490,30773,31098
06472,"$75,000 under $100,000",410,35719,36231
06472,"$100,000 under $200,000",830,113864,115155
06472,"$200,000 or more",190,69183,70166
,,,,
06473,,"12,720","1,138,775","1,159,840"
06473,"$1 under $25,000",3260,35728,36511
06473,"$25,000 under $50,000",2140,79400,81018
06473,"$50,000 under $75,000",1950,120672,122806
06473,"$75,000 under $100,000",1480,128049,130085
06473,"$100,000 under $200,000",2970,412358,417703
06473,"$200,000 or more",920,362568,371717
,,,,
06475,,"5,830","651,968","665,561"
06475,"$1 under $25,000",1570,16831,17296
06475,"$25,000 under $50,000",950,35076,36039
06475,"$50,000 under $75,000",790,48951,50181
06475,"$75,000 under $100,000",600,51526,52555
06475,"$100,000 under $200,000",1280,179525,183103
06475,"$200,000 or more",640,320059,326387
,,,,
06477,,"7,200","855,836","873,820"
06477,"$1 under $25,000",1760,17978,18560
06477,"$25,000 under $50,000",970,35728,36574
06477,"$50,000 under $75,000",850,52855,54316
06477,"$75,000 under $100,000",680,58673,59796
06477,"$100,000 under $200,000",1950,279095,284151
06477,"$200,000 or more",990,411507,420423
,,,,
06478,,"6,370","614,988","625,362"
06478,"$1 under $25,000",1470,16028,16458
06478,"$25,000 under $50,000",980,36074,36705
06478,"$50,000 under $75,000",820,51240,52487
06478,"$75,000 under $100,000",750,65071,66449
06478,"$100,000 under $200,000",1790,252259,255855
06478,"$200,000 or more",560,194316,197408
,,,,
06479,,"5,070","396,695","402,215"
06479,"$1 under $25,000",1290,14708,14989
06479,"$25,000 under $50,000",940,34705,35335
06479,"$50,000 under $75,000",800,49482,50344
06479,"$75,000 under $100,000",620,53533,54181
06479,"$100,000 under $200,000",1130,154780,156380
06479,"$200,000 or more",290,89487,90986
,,,,
06480,,"4,750","409,053","415,303"
06480,"$1 under $25,000",1170,13362,13632
06480,"$25,000 under $50,000",810,29935,30393
06480,"$50,000 under $75,000",690,42958,43557
06480,"$75,000 under $100,000",580,49837,50371
06480,"$100,000 under $200,000",1150,160315,162122
06480,"$200,000 or more",350,112646,115228
,,,,
06481,,600,"45,058","45,587"
06481,"$1 under $25,000",150,1747,1801
06481,"$25,000 under $50,000",120,4357,4466
06481,"$50,000 under $75,000",80,4995,5048
06481,"$75,000 under $100,000",80,6891,6957
06481,"$100,000 under $200,000",130,17835,18082
06481,"$200,000 or more",40,9233,9233
,,,,
06482,,"5,250","606,451","617,433"
06482,"$1 under $25,000",1410,13663,14014
06482,"$25,000 under $50,000",700,26157,27011
06482,"$50,000 under $75,000",570,35974,36574
06482,"$75,000 under $100,000",490,42769,43746
06482,"$100,000 under $200,000",1260,179908,182822
06482,"$200,000 or more",820,307980,313266
,,,,
06483,,"8,540","583,394","590,773"
06483,"$1 under $25,000",2380,28682,29333
06483,"$25,000 under $50,000",1890,69696,70787
06483,"$50,000 under $75,000",1370,84326,85453
06483,"$75,000 under $100,000",970,84135,85143
06483,"$100,000 under $200,000",1580,213984,216308
06483,"$200,000 or more",350,102571,103749
,,,,
06484,,"21,190","1,761,143","1,791,004"
06484,"$1 under $25,000",5580,63882,65360
06484,"$25,000 under $50,000",3890,143613,146430
06484,"$50,000 under $75,000",3130,193547,196745
06484,"$75,000 under $100,000",2470,215092,217942
06484,"$100,000 under $200,000",4600,633270,643069
06484,"$200,000 or more",1520,511739,521458
,,,,
06488,,"9,840","992,558","1,013,850"
06488,"$1 under $25,000",2630,28161,28972
06488,"$25,000 under $50,000",1570,58035,59449
06488,"$50,000 under $75,000",1330,82862,84787
06488,"$75,000 under $100,000",1010,87582,89256
06488,"$100,000 under $200,000",2180,306432,311937
06488,"$200,000 or more",1120,429486,439449
,,,,
06489,,"16,390","1,432,789","1,456,056"
06489,"$1 under $25,000",4300,48618,49478
06489,"$25,000 under $50,000",2920,108729,110522
06489,"$50,000 under $75,000",2310,142362,144486
06489,"$75,000 under $100,000",1830,158780,161003
06489,"$100,000 under $200,000",3770,526924,533138
06489,"$200,000 or more",1260,447376,457429
,,,,
06492,,"23,130","1,778,007","1,803,763"
06492,"$1 under $25,000",6210,73945,75373
06492,"$25,000 under $50,000",4730,175420,178424
06492,"$50,000 under $75,000",3740,231138,234560
06492,"$75,000 under $100,000",2640,229030,231996
06492,"$100,000 under $200,000",4640,634589,641720
06492,"$200,000 or more",1170,433885,441690
,,,,
06498,,"3,630","311,434","318,420"
06498,"$1 under $25,000",1170,13761,14290
06498,"$25,000 under $50,000",690,25387,25953
06498,"$50,000 under $75,000",480,30150,30865
