zipcode,income_bucket,n_returns,agi,total_income,city
6384,1,370,4808,4938,Voluntown
6384,2,280,10137,10307,Voluntown
6384,3,230,14447,14630,Voluntown
6384,4,170,14445,14585,Voluntown
6384,5,270,35932,36322,Voluntown
6384,6,30,11115,11115,Voluntown
6385,1,2190,25888,26386,Waterford
6385,2,1610,59574,60509,Waterford
6385,3,1400,86526,87740,Waterford
6385,4,940,81787,82842,Waterford
6385,5,1740,239389,242831,Waterford
6385,6,520,195587,200296,Waterford
6389,1,20,401,423,Norwich
6389,2,40,1304,1304,Norwich
6389,3,30,1725,1725,Norwich
6389,4,30,4232,4232,Norwich
6389,5,0,0,0,Norwich
6389,6,0,0,0,Norwich
6401,1,3290,42155,42739,Ansonia
6401,2,2560,93255,94325,Ansonia
6401,3,1460,89730,90565,Ansonia
6401,4,880,75589,76322,Ansonia
6401,5,1060,138259,139315,Ansonia
6401,6,100,30315,30719,Ansonia
6403,1,750,8724,8867,Beacon Falls
6403,2,590,21917,22220,Beacon Falls
6403,3,500,30657,31145,Beacon Falls
6403,4,370,32546,32897,Beacon Falls
6403,5,690,94487,95237,Beacon Falls
6403,6,140,38946,39313,Beacon Falls
6405,1,4100,47942,49261,Branford
6405,2,3230,119995,122723,Branford
6405,3,2480,153539,156191,Branford
6405,4,1810,156332,158693,Branford
6405,5,2800,384108,391659,Branford
6405,6,1150,569251,583182,Branford
6409,1,120,1365,1394,Centerbrook
6409,2,70,2551,2609,Centerbrook
6409,3,60,3290,3377,Centerbrook
6409,4,30,2884,2884,Centerbrook
6409,5,60,8789,9065,Centerbrook
6409,6,20,7783,7783,Centerbrook
6410,1,3420,34867,35807,Cheshire
6410,2,1820,67196,68731,Cheshire
6410,3,1590,98903,101042,Cheshire
6410,4,1400,121402,123690,Cheshire
6410,5,3400,483756,491449,Cheshire
6410,6,1820,700439,716129,Cheshire
6412,1,550,6349,6537,Chester
6412,2,360,13241,13675,Chester
6412,3,300,18137,18602,Chester
6412,4,190,16701,17097,Chester
6412,5,440,61698,62834,Chester
6412,6,180,66755,68451,Chester
6413,1,1960,22664,23115,Clinton
6413,2,1280,47020,48002,Clinton
6413,3,1040,64493,65673,Clinton
6413,4,770,67055,68138,Clinton
6413,5,1370,189696,192180,Clinton
6413,6,420,173778,176936,Clinton
6415,1,2240,25205,25728,Colchester
6415,2,1480,54728,55613,Colchester
6415,3,1220,75451,76514,Colchester
6415,4,960,83081,84114,Colchester
6415,5,1950,270753,273597,Colchester
6415,6,500,153778,156230,Colchester
6416,1,1820,20882,21405,Cromwell
6416,2,1420,53252,54273,Cromwell
6416,3,1240,76167,77179,Cromwell
6416,4,920,79545,80410,Cromwell
6416,5,1630,226244,228848,Cromwell
6416,6,580,255641,262642,Cromwell
6417,1,630,7103,7289,Deep River
6417,2,490,17855,18256,Deep River
6417,3,370,22963,23286,Deep River
6417,4,250,21934,22398,Deep River
6417,5,460,61863,63068,Deep River
6417,6,150,81849,82901,Deep River
6418,1,2060,25844,26282,Derby
6418,2,1620,59893,60691,Derby
6418,3,1070,65266,65894,Derby
6418,4,630,54110,54545,Derby
6418,5,770,102434,103405,Derby
6418,6,110,34409,34891,Derby
6419,1,850,8645,8949,Killingworth
6419,2,440,16093,16571,Killingworth
6419,3,370,22703,23289,Killingworth
6419,4,310,26594,27082,Killingworth
6419,5,860,121342,123709,Killingworth
6419,6,400,146370,149068,Killingworth
6420,1,540,6000,6160,Salem
6420,2,310,11716,12037,Salem
6420,3,290,17810,18146,Salem
6420,4,240,20997,21284,Salem
6420,5,560,77650,78547,Salem
6420,6,170,54356,55523,Salem
6422,1,910,9547,9850,Haddam
6422,2,520,19340,19807,Haddam
6422,3,430,27005,27569,Haddam
6422,4,430,37177,37605,Haddam
6422,5,950,134571,136444,Haddam
6422,6,420,200004,205952,Haddam
6423,1,610,7116,7257,East Haddam
6423,2,410,15267,15516,East Haddam
6423,3,370,22976,23437,East Haddam
6423,4,290,25660,26170,East Haddam
6423,5,640,88381,89363,East Haddam
6423,6,200,68442,70298,East Haddam
6424,1,1520,16893,17275,East Hampton
6424,2,1030,38287,38940,East Hampton
6424,3,1000,61705,62628,East Hampton
6424,4,760,66322,67423,East Hampton
6424,5,1570,217303,219905,East Hampton
6424,6,420,132753,135135,East Hampton
6426,1,410,4417,4575,Essex
6426,2,220,8291,8546,Essex
6426,3,200,12741,13119,Essex
6426,4,170,14413,14742,Essex
6426,5,440,61522,62967,Essex
6426,6,400,240651,246926,Essex
6437,1,2720,27538,28423,Guilford
6437,2,1570,57991,59700,Guilford
6437,3,1300,81242,83293,Guilford
6437,4,1070,94066,96738,Guilford
6437,5,2600,370419,378879,Guilford
6437,6,1850,878306,898463,Guilford
6438,1,330,3664,3778,Haddam
6438,2,220,8265,8432,Haddam
6438,3,180,11398,11546,Haddam
6438,4,150,13378,13606,Haddam
6438,5,310,43321,43950,Haddam
6438,6,140,59457,61258,Haddam
6441,1,630,7189,7434,Higganum
6441,2,470,17261,17618,Higganum
6441,3,390,23887,24283,Higganum
6441,4,330,28640,28979,Higganum
6441,5,720,99853,101318,Higganum
6441,6,260,85626,87525,Higganum
6442,1,420,4384,4527,Ivorytown
6442,2,240,8690,9017,Ivorytown
6442,3,200,12447,12647,Ivorytown
6442,4,160,14327,14542,Ivorytown
6442,5,310,43191,44175,Ivorytown
6442,6,140,46166,47041,Ivorytown
6443,1,2290,21572,22238,Madison
6443,2,1020,37390,38732,Madison
6443,3,910,56639,58236,Madison
6443,4,810,70314,72034,Madison
6443,5,2120,301233,308067,Madison
6443,6,1840,873571,893468,Madison
6447,1,730,7945,8163,Marlborough
6447,2,420,15484,16038,Marlborough
6447,3,410,25579,26217,Marlborough
6447,4,360,31159,31833,Marlborough
6447,5,810,113659,115650,Marlborough
6447,6,360,173525,175856,Marlborough
6450,1,6060,78932,79860,Meriden
6450,2,4840,176568,178381,Meriden
6450,3,2830,173213,174961,Meriden
6450,4,1720,147957,149347,Meriden
6450,5,2060,270931,273427,Meriden
6450,6,240,83558,84525,Meriden
6451,1,4410,57164,57870,Meriden
6451,2,3120,112254,113256,Meriden
6451,3,1760,107539,108540,Meriden
6451,4,1090,93918,94778,Meriden
6451,5,1240,163711,164923,Meriden
6451,6,150,44081,45254,Meriden
6455,1,440,4788,4892,Middlefield
6455,2,270,9981,10242,Middlefield
6455,3,280,17567,17852,Middlefield
6455,4,180,16039,16290,Middlefield
6455,5,380,53610,54480,Middlefield
6455,6,150,57904,59189,Middlefield
6457,1,6630,82499,83905,Middletown
6457,2,5370,198487,201183,Middletown
6457,3,3820,235463,238636,Middletown
6457,4,2460,212015,214246,Middletown
6457,5,3530,477777,482624,Middletown
6457,6,850,269766,275428,Middletown
6460,1,5210,59837,61627,Milford
6460,2,3920,145799,148794,Milford
6460,3,3370,208733,212267,Milford
6460,4,2500,217393,220767,Milford
6460,5,4090,563158,572727,Milford
6460,6,1270,514726,525991,Milford
6461,1,1950,21225,21630,Milford
6461,2,1350,50213,51236,Milford
6461,3,1100,68599,69641,Milford
6461,4,850,74123,75076,Milford
6461,5,1730,240542,243663,Milford
6461,6,650,202007,206012,Milford
6468,1,2470,25399,26423,Monroe
6468,2,1350,50280,51642,Monroe
6468,3,1130,69767,71423,Monroe
6468,4,930,81327,83299,Monroe
6468,5,2340,332515,338126,Monroe
6468,6,1240,474524,481864,Monroe
6469,1,450,5234,5368,Moodus
6469,2,340,12408,12651,Moodus
6469,3,230,14227,14477,Moodus
6469,4,170,14769,14921,Moodus
6469,5,360,50183,50999,Moodus
6469,6,70,19686,20032,Moodus
6470,1,1920,19655,20488,Newtown
6470,2,980,36071,37283,Newtown
6470,3,810,50150,51473,Newtown
6470,4,720,62569,64069,Newtown
6470,5,1830,260364,265478,Newtown
6470,6,1380,643230,655199,Newtown
6471,1,1030,11828,12106,North Branford
6471,2,720,26917,27563,North Branford
6471,3,590,36932,37519,North Branford
6471,4,470,41159,41915,North Branford
6471,5,890,121586,123016,North Branford
6471,6,220,71150,71938,North Branford
6472,1,860,9647,9867,Northford
6472,2,570,20871,21259,Northford
6472,3,490,30773,31098,Northford
6472,4,410,35719,36231,Northford
6472,5,830,113864,115155,Northford
6472,6,190,69183,70166,Northford
6473,1,3260,35728,36511,North Haven
6473,2,2140,79400,81018,North Haven
6473,3,1950,120672,122806,North Haven
6473,4,1480,128049,130085,North Haven
6473,5,2970,412358,417703,North Haven
6473,6,920,362568,371717,North Haven
6475,1,1570,16831,17296,Old Saybrook
6475,2,950,35076,36039,Old Saybrook
6475,3,790,48951,50181,Old Saybrook
6475,4,600,51526,52555,Old Saybrook
6475,5,1280,179525,183103,Old Saybrook
6475,6,640,320059,326387,Old Saybrook
6477,1,1760,17978,18560,Orange
6477,2,970,35728,36574,Orange
6477,3,850,52855,54316,Orange
6477,4,680,58673,59796,Orange
6477,5,1950,279095,284151,Orange
6477,6,990,411507,420423,Orange
6478,1,1470,16028,16458,Oxford
6478,2,980,36074,36705,Oxford
6478,3,820,51240,52487,Oxford
6478,4,750,65071,66449,Oxford
6478,5,1790,252259,255855,Oxford
6478,6,560,194316,197408,Oxford
6479,1,1290,14708,14989,Plantsville
6479,2,940,34705,35335,Plantsville
6479,3,800,49482,50344,Plantsville
6479,4,620,53533,54181,Plantsville
6479,5,1130,154780,156380,Plantsville
6479,6,290,89487,90986,Plantsville
6480,1,1170,13362,13632,Portland
6480,2,810,29935,30393,Portland
6480,3,690,42958,43557,Portland
6480,4,580,49837,50371,Portland
6480,5,1150,160315,162122,Portland
6480,6,350,112646,115228,Portland
6481,1,150,1747,1801,Rockfall
6481,2,120,4357,4466,Rockfall
6481,3,80,4995,5048,Rockfall
6481,4,80,6891,6957,Rockfall
6481,5,130,17835,18082,Rockfall
6481,6,40,9233,9233,Rockfall
6482,1,1410,13663,14014,Sandy Hook
6482,2,700,26157,27011,Sandy Hook
6482,3,570,35974,36574,Sandy Hook
6482,4,490,42769,43746,Sandy Hook
6482,5,1260,179908,182822,Sandy Hook
6482,6,820,307980,313266,Sandy Hook
6483,1,2380,28682,29333,Seymour
6483,2,1890,69696,70787,Seymour
6483,3,1370,84326,85453,Seymour
6483,4,970,84135,85143,Seymour
6483,5,1580,213984,216308,Seymour
6483,6,350,102571,103749,Seymour
6484,1,5580,63882,65360,Shelton
6484,2,3890,143613,146430,Shelton
6484,3,3130,193547,196745,Shelton
6484,4,2470,215092,217942,Shelton
6484,5,4600,633270,643069,Shelton
6484,6,1520,511739,521458,Shelton
6488,1,2630,28161,28972,Southbury
6488,2,1570,58035,59449,Southbury
6488,3,1330,82862,84787,Southbury
6488,4,1010,87582,89256,Southbury
6488,5,2180,306432,311937,Southbury
6488,6,1120,429486,439449,Southbury
6489,1,4300,48618,49478,Southington
6489,2,2920,108729,110522,Southington
6489,3,2310,142362,144486,Southington
6489,4,1830,158780,161003,Southington
6489,5,3770,526924,533138,Southington
6489,6,1260,447376,457429,Southington
6492,1,6210,73945,75373,Wallingford
6492,2,4730,175420,178424,Wallingford
6492,3,3740,231138,234560,Wallingford
6492,4,2640,229030,231996,Wallingford
6492,5,4640,634589,641720,Wallingford
6492,6,1170,433885,441690,Wallingford
6498,1,1170,13761,14290,Westbrook
6498,2,690,25387,25953,Westbrook
6498,3,480,30150,30865,Westbrook
6498,4,360,31450,31866,Westbrook
6498,5,660,91429,92994,Westbrook
6498,6,270,119257,122452,Westbrook
6510,1,340,4129,4325,New Haven
6510,2,370,13729,13994,New Haven
6510,3,310,18787,19010,New Haven
6510,4,150,13130,13183,New Haven
6510,5,260,36268,36694,New Haven
6510,6,150,66096,67284,New Haven
6511,1,8830,112480,114849,New Haven
6511,2,5840,211694,214195,New Haven
6511,3,2750,167380,169470,New Haven
6511,4,1190,102247,103451,New Haven
6511,5,1410,190047,192359,New Haven
6511,6,800,459303,469548,New Haven
6512,1,4720,58612,59668,East Haven
6512,2,3790,139793,141702,East Haven
6512,3,2590,159025,160909,East Haven
6512,4,1630,140769,142097,East Haven
6512,5,1950,256792,259667,East Haven
6512,6,280,167939,170434,East Haven
6513,1,7400,96985,98237,New Haven
6513,2,4910,176059,177239,New Haven
6513,3,2140,130181,131180,New Haven
6513,4,950,81367,81945,New Haven
6513,5,920,118781,119907,New Haven
6513,6,100,29871,30293,New Haven
6514,1,4170,51906,52933,Hamden
6514,2,3210,118553,120265,Hamden
6514,3,2320,142713,144503,Hamden
6514,4,1350,116844,117853,Hamden
6514,5,1710,229699,231591,Hamden
6514,6,290,92399,94073,Hamden
6515,1,2740,34207,34768,New Haven
6515,2,1730,63306,64078,New Haven
6515,3,1020,62948,63629,New Haven
6515,4,570,48960,49389,New Haven
6515,5,830,114309,116636,New Haven
6515,6,320,116705,119499,New Haven
6516,1,9390,119295,121219,West Haven
6516,2,7050,257647,260241,West Haven
6516,3,4150,253988,256339,West Haven
6516,4,2290,197962,199702,West Haven
6516,5,2840,376960,380331,West Haven
6516,6,340,107044,108508,West Haven
6517,1,2030,24401,24852,Hamden
6517,2,1480,54784,55631,Hamden
6517,3,1130,70243,71179,Hamden
6517,4,820,71054,71804,Hamden
6517,5,1380,193206,196179,Hamden
6517,6,650,243185,247530,Hamden
6518,1,1800,20506,21086,Hamden
6518,2,1290,48093,49274,Hamden
6518,3,1210,75278,76330,Hamden
6518,4,910,79044,80248,Hamden
6518,5,1700,233866,236997,Hamden
6518,6,500,162391,165311,Hamden
6519,1,3240,42269,42717,New Haven
6519,2,1800,63259,63575,New Haven
6519,3,610,36746,36984,New Haven
6519,4,180,15194,15297,New Haven
6519,5,130,16712,17191,New Haven
6519,6,30,9770,9770,New Haven
6524,1,720,7252,7542,Bethany
6524,2,410,15736,16296,Bethany
6524,3,330,20648,21320,Bethany
6524,4,280,23774,24277,Bethany
6524,5,690,98787,100696,Bethany
6524,6,360,148027,151244,Bethany
6525,1,1070,10665,11065,Woodbridge
6525,2,530,19823,20404,Woodbridge
6525,3,420,26061,26755,Woodbridge
6525,4,350,30016,30983,Woodbridge
6525,5,980,142163,145519,Woodbridge
6525,6,1110,598152,612564,Woodbridge
6604,1,5850,73791,75086,Bridgeport
6604,2,3300,117067,118186,Bridgeport
6604,3,1350,81665,82492,Bridgeport
6604,4,570,49032,49448,Bridgeport
6604,5,600,79020,79804,Bridgeport
6604,6,100,31833,32493,Bridgeport
6605,1,4840,62448,63502,Bridgeport
6605,2,3090,110443,111716,Bridgeport
6605,3,1140,69502,70381,Bridgeport
6605,4,500,42584,42981,Bridgeport
6605,5,520,70452,72295,Bridgeport
6605,6,170,74507,76727,Bridgeport
6606,1,9080,113679,115832,Bridgeport
6606,2,6480,234631,237231,Bridgeport
6606,3,3310,202413,204086,Bridgeport
6606,4,1640,140892,141938,Bridgeport
6606,5,1390,177349,178641,Bridgeport
6606,6,150,45482,46541,Bridgeport
6607,1,1800,23558,23818,Bridgeport
6607,2,1060,37636,37841,Bridgeport
6607,3,350,20918,21021,Bridgeport
6607,4,110,8964,9042,Bridgeport
6607,5,70,8241,8241,Bridgeport
6607,6,0,0,0,Bridgeport
6608,1,3380,44976,45400,Bridgeport
6608,2,1710,59456,59719,Bridgeport
6608,3,430,25247,25367,Bridgeport
6608,4,130,10682,10781,Bridgeport
6608,5,70,8239,8239,Bridgeport
6608,6,0,0,0,Bridgeport
6610,1,5000,63575,64447,Bridgeport
6610,2,3490,125048,125978,Bridgeport
6610,3,1440,86798,87352,Bridgeport
6610,4,540,46472,46700,Bridgeport
6610,5,480,60359,60725,Bridgeport
6610,6,30,15210,15210,Bridgeport
6611,1,4320,44430,46105,Trumbull
6611,2,2300,85044,87375,Trumbull
6611,3,1930,120619,123261,Trumbull
6611,4,1750,152781,155448,Trumbull
6611,5,4530,647944,658812,Trumbull
6611,6,2430,900638,918866,Trumbull
6612,1,840,8075,8436,Easton
6612,2,390,14431,15270,Easton
6612,3,320,19592,20521,Easton
6612,4,280,24761,25962,Easton
6612,5,760,109488,112691,Easton
6612,6,980,501776,514466,Easton
6614,1,4870,57286,58703,Stratford
6614,2,3500,129004,131252,Stratford
6614,3,2800,173523,175776,Stratford
6614,4,2100,182024,184078,Stratford
6614,5,3440,469290,474312,Stratford
6614,6,750,237574,243613,Stratford
6615,1,3400,42487,43205,Stratford
6615,2,2440,89218,90646,Stratford
6615,3,1550,95068,96163,Stratford
6615,4,910,78996,79780,Stratford
6615,5,1160,155876,157989,Stratford
6615,6,260,87590,89802,Stratford
6702,1,680,7885,7977,Waterbury
6702,2,230,7715,7780,Waterbury
6702,3,40,2139,2139,Waterbury
6702,4,30,2274,2274,Waterbury
6702,5,0,0,0,Waterbury
6702,6,0,0,0,Waterbury
6704,1,5720,73289,74192,Waterbury
6704,2,3220,113831,114590,Waterbury
6704,3,1350,82263,82829,Waterbury
6704,4,600,51483,51812,Waterbury
6704,5,470,59255,59644,Waterbury
6704,6,30,9136,9136,Waterbury
6705,1,5350,69339,70169,Waterbury
6705,2,3880,139320,140261,Waterbury
6705,3,1810,110408,111356,Waterbury
6705,4,850,73593,74069,Waterbury
6705,5,690,88581,89244,Waterbury
6705,6,40,10238,10238,Waterbury
6706,1,3000,38387,38875,Waterbury
6706,2,1750,62859,63252,Waterbury
6706,3,840,51258,51811,Waterbury
6706,4,390,33089,33311,Waterbury
6706,5,350,43967,44286,Waterbury
6706,6,30,10164,10164,Waterbury
6708,1,5400,69101,70121,Waterbury
6708,2,3880,140302,141850,Waterbury
6708,3,2080,127562,128728,Waterbury
6708,4,1200,103618,104404,Waterbury
6708,5,1290,169361,170790,Waterbury
6708,6,170,47262,48972,Waterbury
6710,1,2270,28927,29259,Waterbury
6710,2,1110,39028,39304,Waterbury
6710,3,350,21311,21471,Waterbury
6710,4,170,14798,14901,Waterbury
6710,5,190,24729,25166,Waterbury
6710,6,40,19189,19545,Waterbury
6712,1,1260,14294,14622,Prospect
6712,2,840,31342,32058,Prospect
6712,3,690,42666,43429,Prospect
6712,4,580,50483,51176,Prospect
6712,5,1200,165649,167898,Prospect
6712,6,300,91507,93017,Prospect
6716,1,2340,27085,27719,Wolcott
6716,2,1620,59857,60838,Wolcott
6716,3,1300,80213,81429,Wolcott
6716,4,990,85247,86208,Wolcott
6716,5,1720,232243,235065,Wolcott
6716,6,370,118986,120761,Wolcott
6750,1,220,2669,2786,Bantam
6750,2,150,5678,5844,Bantam
6750,3,100,6191,6362,Bantam
6750,4,70,5759,5832,Bantam
6750,5,120,15875,16747,Bantam
6750,6,30,8365,8365,Bantam
6751,1,480,5596,5811,Bethlehem Village
6751,2,350,13032,13511,Bethlehem Village
6751,3,270,16604,17068,Bethlehem Village
6751,4,210,17837,18308,Bethlehem Village
6751,5,380,51370,52472,Bethlehem Village
6751,6,110,45935,47349,Bethlehem Village
6752,1,210,2313,2413,Bridgewater
6752,2,130,4747,4975,Bridgewater
6752,3,110,6970,7138,Bridgewater
6752,4,100,8207,8382,Bridgewater
6752,5,180,24553,25168,Bridgewater
6752,6,150,104557,106311,Bridgewater
6754,1,250,2702,2895,Cornwall Bridge
6754,2,130,4718,4902,Cornwall Bridge
6754,3,120,7101,7432,Cornwall Bridge
6754,4,90,7475,7813,Cornwall Bridge
6754,5,130,17921,18470,Cornwall Bridge
6754,6,50,27863,28340,Cornwall Bridge
6755,1,150,1725,1791,Gaylordsville
6755,2,120,4203,4285,Gaylordsville
6755,3,100,5982,6060,Gaylordsville
6755,4,70,5765,5873,Gaylordsville
6755,5,120,15429,15751,Gaylordsville
6755,6,30,9449,9449,Gaylordsville
6756,1,360,3893,4012,Goshen
6756,2,260,9821,10123,Goshen
6756,3,200,11980,12322,Goshen
6756,4,170,14641,14985,Goshen
6756,5,350,47167,48525,Goshen
6756,6,130,80688,83609,Goshen
6757,1,300,3486,3632,Kent
6757,2,210,7885,8215,Kent
6757,3,180,11102,11422,Kent
6757,4,130,10950,11219,Kent
6757,5,200,26042,26767,Kent
6757,6,80,32771,33732,Kent
6759,1,750,8061,8436,Litchfield
6759,2,470,17422,18031,Litchfield
6759,3,410,25094,25957,Litchfield
6759,4,300,26206,26843,Litchfield
6759,5,610,85543,87965,Litchfield
6759,6,320,173608,177891,Litchfield
6762,1,870,8335,8549,Middlebury
6762,2,510,18618,19142,Middlebury
6762,3,440,27312,27979,Middlebury
6762,4,380,33335,33967,Middlebury
6762,5,980,139296,141515,Middlebury
6762,6,550,282962,289932,Middlebury
6763,1,290,3331,3490,Morris
6763,2,190,6987,7181,Morris
6763,3,150,9033,9244,Morris
6763,4,110,9836,10096,Morris
6763,5,220,28847,29277,Morris
6763,6,70,42010,42968,Morris
6770,1,4940,61465,62486,Naugatuck
6770,2,3860,140977,142944,Naugatuck
6770,3,2480,153127,154832,Naugatuck
6770,4,1680,145381,146626,Naugatuck
6770,5,2160,285403,287683,Naugatuck
6770,6,250,70140,71616,Naugatuck
6776,1,3930,45787,47028,New Milford
6776,2,2820,103477,106016,New Milford
6776,3,1890,116853,119001,New Milford
6776,4,1450,126386,128671,New Milford
6776,5,2570,349850,355674,New Milford
6776,6,770,293563,298964,New Milford
6777,1,240,2636,2768,New Preston
6777,2,180,6699,6955,New Preston
6777,3,120,7619,7729,New Preston
6777,4,90,7858,8015,New Preston
6777,5,150,19656,20093,New Preston
6777,6,70,55903,56742,New Preston
6778,1,170,1864,1892,Northfield
6778,2,130,4637,4765,Northfield
6778,3,110,6535,6683,Northfield
6778,4,80,7324,7422,Northfield
6778,5,130,17982,18296,Northfield
6778,6,30,7992,7992,Northfield
6779,1,1230,15135,15398,Oakville
6779,2,1010,37248,37749,Oakville
6779,3,680,41697,42169,Oakville
6779,4,470,40693,41037,Oakville
6779,5,610,78982,79780,Oakville
6779,6,50,18198,18198,Oakville
6782,1,300,3643,3688,Plymouth
6782,2,260,9549,9774,Plymouth
6782,3,190,11829,12037,Plymouth
6782,4,160,13545,13684,Plymouth
6782,5,250,32534,33213,Plymouth
6782,6,40,12180,12180,Plymouth
6783,1,250,2617,2887,Roxbury
6783,2,170,6117,6485,Roxbury
6783,3,120,7277,7731,Roxbury
6783,4,130,11185,11795,Roxbury
6783,5,240,33840,34617,Roxbury
6783,6,170,114407,116976,Roxbury
6784,1,440,4737,4952,Sherman
6784,2,240,8878,9138,Sherman
6784,3,210,13217,13585,Sherman
6784,4,190,16219,16589,Sherman
6784,5,430,60743,61815,Sherman
6784,6,250,116736,119604,Sherman
6785,1,90,1170,1170,South Kent
6785,2,60,2011,2110,South Kent
6785,3,50,2971,3080,South Kent
6785,4,30,2702,2702,South Kent
6785,5,50,7330,7595,South Kent
6785,6,50,27625,28230,South Kent
6786,1,1380,17067,17318,Terryville
6786,2,1190,43457,43995,Terryville
6786,3,920,56725,57245,Terryville
6786,4,530,45990,46337,Terryville
6786,5,790,105390,106689,Terryville
6786,6,70,19322,19322,Terryville
6787,1,1120,13385,13664,Thomaston
6787,2,880,32524,33010,Thomaston
6787,3,660,41113,41714,Thomaston
6787,4,480,41480,41950,Thomaston
6787,5,710,96251,97358,Thomaston
6787,6,110,33430,33937,Thomaston
6790,1,5960,74557,75828,Torrington
6790,2,4660,169370,171751,Torrington
6790,3,2750,169082,171118,Torrington
6790,4,1730,149518,151198,Torrington
6790,5,2040,267272,270574,Torrington
6790,6,280,97582,100376,Torrington
6791,1,720,8061,8375,Northwest Harwinton
6791,2,490,18260,18771,Northwest Harwinton
6791,3,410,25347,25945,Northwest Harwinton
6791,4,350,30106,30681,Northwest Harwinton
6791,5,710,97804,99478,Northwest Harwinton
6791,6,190,70140,72478,Northwest Harwinton
6793,1,120,1344,1420,Washington
6793,2,90,3388,3581,Washington
6793,3,50,3277,3438,Washington
6793,4,60,4938,5064,Washington
6793,5,110,14674,15185,Washington
6793,6,80,72550,74547,Washington
6794,1,160,1760,1817,Washington Depot
6794,2,110,4215,4438,Washington Depot
6794,3,70,4521,4762,Washington Depot
6794,4,60,5224,5224,Washington Depot
6794,5,110,15175,15842,Washington Depot
6794,6,70,41908,43275,Washington Depot
6795,1,1970,21764,22355,Watertown
6795,2,1270,47204,48173,Watertown
6795,3,1050,64784,65821,Watertown
6795,4,830,71850,72924,Watertown
6795,5,1650,228527,231787,Watertown
6795,6,470,168566,172833,Watertown
6796,1,140,1416,1495,West Cornwall
6796,2,70,2537,2672,West Cornwall
6796,3,70,4485,4822,West Cornwall
6796,4,40,3545,3545,West Cornwall
6796,5,80,11760,12461,West Cornwall
6796,6,40,21049,21049,West Cornwall
6798,1,1330,14119,14636,Woodbury
6798,2,900,33345,34500,Woodbury
6798,3,730,44724,45822,Woodbury
6798,4,550,47853,48790,Woodbury
6798,5,1060,146598,149743,Woodbury
6798,6,540,229060,235399,Woodbury
6801,1,2710,31423,32270,Bethel
6801,2,1840,67463,69199,Bethel
6801,3,1300,80679,82261,Bethel
6801,4,1040,90195,91879,Bethel
6801,5,2140,298322,302867,Bethel
6801,6,750,232710,236708,Bethel
6804,1,2260,24174,25035,Brookfield
6804,2,1480,54912,56327,Brookfield
6804,3,1140,70325,72210,Brookfield
6804,4,950,82732,84685,Brookfield
6804,5,2050,289408,294181,Brookfield
6804,6,1030,409921,416607,Brookfield
6807,1,770,7639,8025,Cos Cob
6807,2,420,15331,16092,Cos Cob
6807,3,340,21184,21868,Cos Cob
6807,4,290,25329,25898,Cos Cob
6807,5,600,85690,87591,Cos Cob
6807,6,1010,704267,717467,Cos Cob
6810,1,10040,122884,125405,Danbury
6810,2,6700,240783,244049,Danbury
6810,3,3470,211943,214951,Danbury
6810,4,1930,166606,168204,Danbury
6810,5,2470,333718,338186,Danbury
6810,6,720,222928,228318,Danbury
6811,1,4240,49616,50848,Danbury
6811,2,3000,109756,111977,Danbury
6811,3,2170,134318,136840,Danbury
6811,4,1670,144787,146490,Danbury
6811,5,2930,401540,407456,Danbury
6811,6,1050,408165,415558,Danbury
6812,1,1800,19182,19642,New Fairfield
6812,2,950,34997,35732,New Fairfield
6812,3,780,48519,49603,New Fairfield
6812,4,710,61478,62646,New Fairfield
6812,5,1690,240091,243535,New Fairfield
6812,6,860,329246,334933,New Fairfield
6820,1,2200,19228,19780,Darien
6820,2,820,30086,30920,Darien
6820,3,600,37311,38311,Darien
6820,4,460,39420,40718,Darien
6820,5,1270,187344,193007,Darien
6820,6,4110,5540166,5594028,Darien
6824,1,3540,33380,34675,Fairfield
6824,2,1690,62525,65011,Fairfield
6824,3,1450,89139,92132,Fairfield
6824,4,1160,101339,104592,Fairfield
6824,5,2920,424996,436344,Fairfield
6824,6,4210,2550530,2603097,Fairfield
6825,1,2600,27177,28156,Fairfield
6825,2,1450,53575,55209,Fairfield
6825,3,1240,76590,78354,Fairfield
6825,4,900,78023,80022,Fairfield
6825,5,2050,293668,299318,Fairfield
6825,6,1470,550641,562695,Fairfield
6830,1,3340,36191,37540,Greenwich
6830,2,1840,67649,69385,Greenwich
6830,3,1280,79644,81472,Greenwich
6830,4,840,72717,74315,Greenwich
6830,5,1690,240897,247092,Greenwich
6830,6,3260,9112097,9187790,Greenwich
6831,1,1650,16534,17141,Greenwich
6831,2,910,33538,34524,Greenwich
6831,3,740,45748,46786,Greenwich
6831,4,540,46509,47551,Greenwich
6831,5,1230,177043,181104,Greenwich
6831,6,2270,4622038,4670959,Greenwich
6840,1,2100,18467,19145,New Canaan
6840,2,810,30257,31389,New Canaan
6840,3,590,36687,38002,New Canaan
6840,4,500,43800,44899,New Canaan
6840,5,1300,190730,197203,New Canaan
6840,6,3730,4792434,4859255,New Canaan
6850,1,2990,35727,36773,Norwalk
6850,2,2200,80895,82771,Norwalk
6850,3,1630,100797,102606,Norwalk
6850,4,1060,92165,94016,Norwalk
6850,5,1960,270466,275185,Norwalk
6850,6,910,346799,354559,Norwalk
6851,1,3900,44468,46011,Norwalk
6851,2,2750,102180,104434,Norwalk
6851,3,2080,128053,130874,Norwalk
