zipcode,income_bucket,n_returns,agi,total_income,city
6062,2,2290,85709,86880,Plainville
6062,3,1680,103554,104688,Plainville
6062,4,1070,92509,93364,Plainville
6062,5,1430,190293,192326,Plainville
6062,6,190,70402,72066,Plainville
6063,1,450,5131,5303,Barkhamsted
6063,2,250,9280,9532,Barkhamsted
6063,3,240,15104,15317,Barkhamsted
6063,4,240,20566,21076,Barkhamsted
6063,5,420,58390,59201,Barkhamsted
6063,6,90,36763,37064,Barkhamsted
6065,1,110,1239,1278,Riverton
6065,2,60,2323,2323,Riverton
6065,3,50,2893,2994,Riverton
6065,4,70,5723,5723,Riverton
6065,5,90,14414,14517,Riverton
6065,6,0,0,0,Riverton
6066,1,4490,56408,57348,Vernon Rockville
6066,2,3880,142586,144431,Vernon Rockville
6066,3,2720,167812,169539,Vernon Rockville
6066,4,1730,149171,150562,Vernon Rockville
6066,5,2460,330858,334199,Vernon Rockville
6066,6,400,150940,153541,Vernon Rockville
6067,1,2420,27636,28243,Rocky Hill
6067,2,2000,74522,75839,Rocky Hill
6067,3,1900,118448,119905,Rocky Hill
6067,4,1450,125179,126448,Rocky Hill
6067,5,2240,307610,311031,Rocky Hill
6067,6,720,261126,266366,Rocky Hill
6068,1,200,2298,2392,Salisbury
6068,2,150,5383,5625,Salisbury
6068,3,100,5912,6157,Salisbury
6068,4,70,6369,6638,Salisbury
6068,5,120,15978,16380,Salisbury
6068,6,90,49416,49965,Salisbury
6069,1,350,3945,4136,Sharon
6069,2,210,7831,8145,Sharon
6069,3,150,9270,9697,Sharon
6069,4,110,9389,9725,Sharon
6069,5,180,23784,24521,Sharon
6069,6,140,103427,105320,Sharon
6070,1,1780,17172,17597,Simsbury
6070,2,940,35065,36064,Simsbury
6070,3,800,50110,51253,Simsbury
6070,4,740,64438,65752,Simsbury
6070,5,2040,292739,298176,Simsbury
6070,6,1330,651053,661753,Simsbury
6071,1,1150,12513,12823,Somers
6071,2,680,24966,25450,Somers
6071,3,620,38069,38672,Somers
6071,4,470,40786,41488,Somers
6071,5,1200,167273,169736,Somers
6071,6,420,175683,179998,Somers
6073,1,680,6717,6903,South Glastonbury
6073,2,280,10394,10796,South Glastonbury
6073,3,270,16648,17130,South Glastonbury
6073,4,230,19874,20322,South Glastonbury
6073,5,670,97404,99397,South Glastonbury
6073,6,740,388290,399761,South Glastonbury
6074,1,3130,33349,34150,South Windsor
6074,2,2090,77074,78627,South Windsor
6074,3,1790,111173,112716,South Windsor
6074,4,1570,137425,139059,South Windsor
6074,5,3350,469227,474556,South Windsor
6074,6,1330,462417,470990,South Windsor
6076,1,1670,20487,20812,Stafford Springs
6076,2,1420,52499,53095,Stafford Springs
6076,3,1030,63703,64461,Stafford Springs
6076,4,750,65310,65879,Stafford Springs
6076,5,1050,141356,142933,Stafford Springs
6076,6,150,49500,50561,Stafford Springs
6078,1,1260,13113,13467,Suffield
6078,2,810,30277,30887,Suffield
6078,3,660,40581,41293,Suffield
6078,4,570,49366,50133,Suffield
6078,5,1210,172435,174819,Suffield
6078,6,650,392260,397833,Suffield
6081,1,210,2538,2560,Tariffville
6081,2,190,6668,6830,Tariffville
6081,3,120,7188,7291,Tariffville
6081,4,90,8094,8165,Tariffville
6081,5,120,16741,16967,Tariffville
6081,6,20,6542,6542,Tariffville
6082,1,5990,74586,75714,Enfield
6082,2,4930,182151,184510,Enfield
6082,3,3710,229392,231818,Enfield
6082,4,2530,219364,221269,Enfield
6082,5,3470,461083,465290,Enfield
6082,6,430,138173,140581,Enfield
6084,1,1720,17798,18109,Tolland
6084,2,1010,37966,38665,Tolland
6084,3,890,55333,56226,Tolland
6084,4,820,71226,72434,Tolland
6084,5,1940,273556,276540,Tolland
6084,6,800,272273,276918,Tolland
6085,1,890,9740,9947,Unionville
6085,2,610,22529,22996,Unionville
6085,3,500,30899,31398,Unionville
6085,4,360,31124,31733,Unionville
6085,5,820,116035,117584,Unionville
6085,6,400,151771,154550,Unionville
6088,1,740,9452,9580,East Windsor
6088,2,640,23501,23801,East Windsor
6088,3,570,35390,35779,East Windsor
6088,4,330,28557,28818,East Windsor
6088,5,340,44962,45434,East Windsor
6088,6,40,17727,17727,East Windsor
6089,1,420,4495,4626,Weatogue
6089,2,230,8292,8463,Weatogue
6089,3,200,12548,12736,Weatogue
6089,4,170,14800,15061,Weatogue
6089,5,370,52178,52959,Weatogue
6089,6,260,118127,120605,Weatogue
6090,1,130,1315,1369,West Granby
6090,2,60,2187,2226,West Granby
6090,3,60,3776,3947,West Granby
6090,4,50,4201,4201,West Granby
6090,5,150,20819,21099,West Granby
6090,6,120,53384,54466,West Granby
6092,1,480,4310,4433,West Simsbury
6092,2,170,6368,6631,West Simsbury
6092,3,130,8131,8306,West Simsbury
6092,4,170,14897,15279,West Simsbury
6092,5,510,74015,75471,West Simsbury
6092,6,520,259983,264894,West Simsbury
6093,1,440,4830,4941,West Suffield
6093,2,310,11234,11471,West Suffield
6093,3,230,14392,14599,West Suffield
6093,4,210,18374,18645,West Suffield
6093,5,450,62098,62978,West Suffield
